timestep,L_acc_x,L_acc_y,L_acc_z,L_gyro_x,L_gyro_y,L_gyro_z,L_pressure_1,L_pressure_2,L_pressure_3,L_pressure_4,L_pressure_5,L_pressure_6,L_pressure_7,L_pressure_8,L_pressure_9,L_pressure_10,L_pressure_11,L_pressure_12,L_pressure_13,L_pressure_14,L_pressure_15,L_pressure_16,L_pressure_17,L_pressure_18,L_pressure_19,L_pressure_20,L_pressure_21,L_pressure_22,L_pressure_23,L_pressure_24,L_pressure_25,L_pressure_26,L_pressure_27,L_pressure_28,L_pressure_29,L_pressure_30,L_pressure_31,L_pressure_32,L_pressure_33,L_pressure_34,L_pressure_35,L_pressure_36,L_pressure_37,L_pressure_38,L_pressure_39,L_pressure_40,R_acc_x,R_acc_y,R_acc_z,R_gyro_x,R_gyro_y,R_gyro_z,R_pressure_1,R_pressure_2,R_pressure_3,R_pressure_4,R_pressure_5,R_pressure_6,R_pressure_7,R_pressure_8,R_pressure_9,R_pressure_10,R_pressure_11,R_pressure_12,R_pressure_13,R_pressure_14,R_pressure_15,R_pressure_16,R_pressure_17,R_pressure_18,R_pressure_19,R_pressure_20,R_pressure_21,R_pressure_22,R_pressure_23,R_pressure_24,R_pressure_25,R_pressure_26,R_pressure_27,R_pressure_28,R_pressure_29,R_pressure_30,R_pressure_31,R_pressure_32,R_pressure_33,R_pressure_34,R_pressure_35,R_pressure_36,R_pressure_37,R_pressure_38,R_pressure_39,R_pressure_40
10.07,-385,-116,-2015,-111,-13,20,0,0,0,0,0,0,0,0,7,136,115,41,178,204,245,31,0,0,0,0,16,186,3,4,227,5,8,120,22,145,201,18,207,253,89,222,27,19,29,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.08,-385,-116,-2015,-111,-13,20,0,0,0,0,0,0,0,0,7,136,115,41,178,204,245,31,0,0,0,0,16,186,3,4,227,5,8,120,22,145,201,18,207,253,89,222,27,19,29,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.09,-385,-116,-2015,-111,-13,20,0,0,0,0,0,0,0,0,7,136,115,41,178,204,245,31,0,0,0,0,16,186,3,4,227,5,8,120,22,145,201,18,207,253,89,222,27,19,29,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1,-352,-110,-2017,-112,-31,24,0,0,0,0,0,0,1,0,19,152,155,49,0,0,0,0,0,0,0,0,46,222,5,15,71,9,24,158,84,215,42,41,76,175,91,233,67,13,97,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11,-381,-171,-1996,-13,32,-2,0,0,0,0,0,0,0,0,86,183,185,142,0,0,0,0,0,0,0,0,46,221,7,26,129,15,97,203,142,40,6,38,83,210,139,162,239,125,216,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.12,-414,-168,-1987,-4,47,-7,0,0,0,0,0,0,0,0,97,192,186,153,0,0,0,0,0,0,0,0,47,227,8,29,131,16,103,203,151,42,1,42,79,206,133,151,241,116,195,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.13,-385,-131,-2002,4,61,-12,0,0,0,0,0,0,0,0,123,195,193,165,0,0,0,0,0,0,0,0,47,225,9,31,129,18,110,203,164,46,253,42,79,206,125,134,239,108,166,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.14,-385,-131,-2002,4,61,-12,0,0,0,0,0,0,0,0,123,195,193,165,0,0,0,0,0,0,0,0,47,225,9,31,129,18,110,203,164,46,253,42,79,206,125,134,239,108,166,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.15,-385,-131,-2002,4,61,-12,0,0,0,0,0,0,0,0,123,195,193,165,0,0,0,0,0,0,0,0,47,225,9,31,129,18,110,203,164,46,253,42,79,206,125,134,239,108,166,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.16,-385,-131,-2002,4,61,-12,0,0,0,0,0,0,0,0,123,195,193,165,0,0,0,0,0,0,0,0,47,225,9,31,129,18,110,203,164,46,253,42,79,206,125,134,239,108,166,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
